,Id,Username,AVG Viewers,Time Streamed,All Time Peak Viewers,Hours Watched,Rank,Followers Gained,Total Followers,Total Views
0,#1,tommyinnit,191854,12.9hours,650237,2474920,2,+314338,5499713,49185807
1,#2,Quackity,165386,11.8hours,381550,1951549,3,+242419,3515334,23526957
2,#3,Sapnap,123037,7.7hours,287152,944584,11,+134372,2237876,8740493
3,#4,auronplay,110172,103.1hours,313347,11360553,4,+320018,8756912,143407527
4,#5,xQcOW,108189,323.9hours,222720,35038904,1,+190232,5776761,361856811
5,#6,AdinRoss,107213,83.5hours,254923,8955832,7,+851074,3972639,22136248
6,#7,ibai,98345,111.1hours,1538645,10929419,5,+324242,6204120,204197597
7,#8,WilburSoot,90365,8.8hours,215211,793258,18,+213986,3380807,16116312
8,#9,LCK_Korea,90113,89.3hours,365983,8044086,8,+46689,922251,268647537
9,#10,Tubbo,87728,20.5hours,332671,1795504,17,+209440,3679604,46394879
10,#11,RanbooLive,87409,105.9hours,346132,9253735,9,+286596,2907849,41801439
11,#12,RocketLeague,82193,66.5hours,214930,5464445,13,+102540,3162189,245021264
12,#13,Riot Games,76841,196hours,654205,15060863,6,+177979,5143681,1284056259
14,#14,ThisIsNotGeorgeNotFound,75837,19.4hours,114463,1473757,24,+237958,793752,2026883
15,#15,Rainbow6,71417,116.3hours,191703,8303362,14,+105674,1993976,83988789
16,#16,loud_coringa,68015,116hours,307450,7888638,15,+181762,1941415,20844746
17,#17,Flashpoint,66883,125.1hours,128800,8363729,10,+160653,404895,118675590
18,#18,Rubius,61142,120.9hours,344676,7390090,16,+258363,9208986,178846440
19,#19,TheRealKnossi,60715,102.7hours,336065,6237432,20,+94738,1675861,52519623
20,#20,CBLOL,57669,84.9hours,264955,4895150,25,+44046,1271128,205127631
21,#21,LITkillah,56338,65.6hours,103784,3696724,27,+263730,1723224,13959828
22,#22,shroud,54858,230.9hours,516289,12666773,12,+193411,9260053,484820448
23,#23,NICKMERCS,52768,153.9hours,371232,8120136,19,+102873,5758635,179498419
24,#24,sapnapalt,49332,21.7hours,75655,1068039,39,+115310,696673,2493755
25,#25,Sykkuno,47898,156.6hours,104187,7502426,22,+129699,3443266,63436930
26,#26,LyonWGFLive,47400,49.4hours,76770,2340779,34,+40270,470054,7036845
28,#27,Philza,47360,61.7hours,162626,2920554,32,+224380,2939759,35047017
29,#28,karlnetwork,45116,17.6hours,93412,795043,47,+97847,604875,1660869
30,#29,DreamLeague,44633,86.2hours,148635,3848811,30,+24597,473199,123952709
31,#30,Asmongold,44529,143.4hours,283753,6384654,26,+51453,2000309,177251423
32,#31,CriticalRole,43489,25.4hours,110800,1102445,48,+17071,739298,23348043
33,#32,Elraenn,43442,62.8hours,103108,2727434,36,+56158,2294471,67436099
34,#33,TimTheTatman,39609,118.1hours,347321,4676450,33,+71718,6606268,246435970
35,#34,loltyler1,39006,228.2hours,368484,8901086,23,+63600,4318210,243488621
36,#35,MontanaBlack88,36592,67.5hours,194927,2468769,45,+59215,3768532,112645946
37,#36,ranboobutnot,35989,8.6hours,83561,310108,71,+73212,317372,454306
38,#37,juansguarnizo,35316,212.8hours,140500,7514631,28,+242557,4189639,79248717
39,#38,Baiano,34892,101.6hours,130745,3545633,41,+44860,646490,44497002
40,#39,Brawlhalla,34378,33.3hours,162409,1144212,62,+37327,1145338,20986944
42,#40,Squeezie,33854,34.3hours,388941,1161765,64,+44552,2840562,56027773
43,#41,lolpacifictw,33616,87.4hours,91692,2936366,46,+22968,125304,20177524
44,#42,finalfantasyxiv,33408,23.6hours,110317,787369,70,+27137,205956,10711846
45,#43,VALORANT,33051,135.2hours,198833,4467972,35,+240035,1034294,37079656
46,#44,JackManifoldTV,32198,43.2hours,175423,1389889,65,+194925,1201844,10315104
47,#45,Mizkif,32067,125.3hours,137191,4016418,43,+85058,1357476,58214359
48,#46,WePlayDota,31395,48.1hours,131648,1510100,67,+47713,260134,33566499
49,#47,WePlayDotaB,31011,18.1hours,86235,560377,83,+45076,60384,1319177
50,#48,alanzoka,30403,161.1hours,147051,4898488,38,+135504,4866554,170973821
51,#49,HasanAbi,30325,240.3hours,226974,7286056,31,+73111,1251206,67786425
52,#50,Faker,30105,31.1hours,214841,935795,76,+59583,3401856,124228223
53,#51,Trymacs,30079,119.8hours,365000,3604495,49,+42282,2539704,109852981
54,#52,summit1g,29794,283.7hours,310998,8452506,29,+20698,5918164,454074109
55,#53,TubboLIVE,29703,106.7hours,92560,3168328,56,+303690,1356431,8401657
56,#54,TheGrefg,28591,112.8hours,2470347,3225522,53,+157355,7408235,145846924
57,#55,R6esportsBR,28246,138.7hours,87521,3917292,51,+38649,469544,36370899
58,#56,Trainwreckstv,27933,208.9hours,82731,5836184,37,+84983,1381012,50283029
59,#57,stylishnoob4,25576,211.7hours,81298,5414439,42,+25939,565214,85068313
60,#58,Clix,25484,70.1hours,101555,1787266,77,+80267,3937090,93132950
61,#59,Nmplol,25147,112.1hours,85653,2819402,66,+75306,781241,37078745
62,#60,VALORANT_BR,24611,80.6hours,90558,1984482,80,+58564,217398,6116466
63,#61,MOONMOON,24515,162.6hours,42066,3986187,58,+8362,1077207,89461500
64,#62,Jahrein,24440,78.4hours,316703,1916113,79,+72374,1647838,87346725
65,#63,Castro_1021,24167,133.6hours,180269,3227521,63,+34516,2960185,114643768
67,#64,wtcN,23429,106.6hours,94211,2497117,69,+46255,2415435,114132956
68,#65,LIRIK,23357,157.6hours,89170,3680989,61,+7771,2788827,390337016
69,#66,pokimane,22988,98.1hours,138482,2255129,74,+177185,7859183,179619847
70,#67,BadBoyHalo,22424,26.6hours,187142,595560,114,+129659,1945387,7171312
71,#68,Tfue,22409,180hours,316214,4033612,59,+152770,10372681,278595172
72,#69,LVPes,22242,96.7hours,232608,2149683,85,+18967,737352,205595796
73,#70,michaelreeves,22176,7.7hours,33410,170010,136,+7356,1301351,6204767
74,#71,RiceGum,22124,39.2hours,56079,867105,111,+61397,1148781,13637677
75,#72,加藤純一です,21944,98.7hours,82055,2165832,88,+12770,328344,13943462
76,#73,Swagg,21903,144.9hours,90947,3174175,72,+68741,1655486,31713615
77,#74,GRONKH,21902,67.1hours,100994,1469602,102,+11648,1340249,98402612
78,#75,IlloJuan,21619,111.8hours,98463,2416606,82,+46842,893039,30047211
79,#76,buster,21253,47.4hours,119019,1008246,110,+69058,1808433,80789631
81,#77,grenbaud,20960,77.3hours,43032,1619150,105,+59008,347880,3686116
82,#78,buddha,20955,316.6hours,65354,6635080,40,+102526,550357,38185983
83,#79,csgomc_ru,20554,100.1hours,364816,2056383,93,+24249,884919,106317144
84,#80,SLAKUN10,20518,10.7hours,79828,219510,141,+82022,3183206,13595422
85,#81,Papaplatte,20517,147hours,66453,3016312,75,+52276,1459118,76949037
86,#82,Cellbit,20399,159.5hours,129394,3252602,73,+28753,2071810,71137376
87,#83,ChristianVieriOfficial,20196,15.2hours,53124,306036,142,+23237,269353,1369293
88,#84,Nihachu,20127,28.8hours,119682,580179,131,+181792,1948919,11909410
89,#85,eliasn97,20083,77.9hours,85341,1564776,109,+19765,480470,6985795
90,#86,LLA,20049,97.5hours,69790,1953787,95,+32966,360391,22124295
91,#87,sodapoppin,20002,231.3hours,110052,4626536,60,-13139,3025146,365803561
92,#88,TenZ,19945,16.3hours,38405,324901,140,+67523,1238995,23846835
93,#89,Hiko,19882,85.6hours,41689,1701249,104,+45790,1458380,54893128
95,#90,Gaules,19783,716.1hours,387315,14165927,21,+76656,2724430,290191737
96,#91,s1mple,19681,9.7hours,73680,189823,145,+23913,2459436,75515840
97,#92,RatedEpicz,19670,273.1hours,59755,5371107,54,+66482,403528,28135618
98,#93,KendineMuzisyen,19576,87.3hours,92142,1709338,101,+41766,2015570,81113730
99,#94,Amar,19539,133.3hours,104595,2603955,87,+31353,1067978,41011216
100,#95,Pato,19524,37.8hours,42214,737447,128,+33807,371906,4725273
101,#96,ludwig,19394,142.4hours,165293,2762295,84,+75831,2758753,79889740
102,#97,SummonersInnLive,19214,87.9hours,105574,1687966,108,+6220,537467,145518787
103,#98,RiotGamesJP,19137,86.4hours,96114,1652469,98,+8043,167723,46330084
104,#99,Domingo,18960,120.7hours,193354,2288175,94,+33363,1100165,99030416
105,#100,Foolish__Gamers,18858,152.9hours,133517,2882823,86,+187721,1165488,12799479
106,#101,TSM_ImperialHal,18739,166.4hours,59639,3118544,81,+72019,839398,33632359
107,#102,Perxitaa,18548,107.7hours,77009,1997580,100,+71709,1836543,32026827
108,#103,ElMariana,18547,79.1hours,30753,1466446,112,+305995,689773,2927323
109,#104,Fundy,18370,65.8hours,145849,1209046,119,+158305,1833379,12306424
110,#105,JLTomy,18367,181.8hours,63473,3339647,78,+41040,655273,31453819
111,#106,dota2mc_ru,18353,325.8hours,238996,5979180,44,+18417,598836,144738138
112,#107,benjyfishy,18283,42.9hours,117740,784220,129,+59018,3419973,66821184
113,#108,coscu,18136,122.9hours,425659,2228314,96,+109812,2796238,68012874
114,#109,Crown,18091,9.2hours,152639,166100,154,+1114,20364,86671338
115,#110,aceu,17966,142.3hours,36709,2556238,92,+133380,1578130,41936077
116,#111,fps_shaka,17681,337.7hours,60136,5970871,52,+21058,544419,80480727
117,#112,Fortnite,17680,51.1hours,700529,902521,127,+117795,4324675,95302341
118,#113,akagreenn,17594,73.7hours,41084,1296420,123,+21223,215286,7479580
120,#114,SlavikJunge685,17309,18.8hours,76329,324686,162,+79135,131942,719453
121,#115,Jelty,17134,225.2hours,68500,3858238,68,+137068,1787728,37009694
122,#116,Spursito,16825,85.8hours,45915,1443612,121,+125350,718019,7488587
123,#117,Unboxholics,16737,16.2hours,43582,270698,177,+4443,332437,10317807
124,#118,ROSHTEIN,16330,370.1hours,73891,6043081,55,+61868,577033,57051525
125,#119,DeadByDaylight,16127,7.8hours,83554,126397,190,+46474,272606,4291132
126,#120,Flight23white,16091,31.9hours,106892,512389,169,+66674,1645479,11245479
127,#121,IamCristinini,16003,172.6hours,58228,2762134,90,+155528,2233982,66053884
128,#122,teaminven,15871,15.2hours,62588,241846,188,+6324,155455,25185244
129,#123,nwslofficial,15208,12.9hours,42807,196011,185,+7080,43740,14275868
130,#124,Flavorr,15193,38.9hours,29249,591133,175,+13709,147569,4755109
131,#125,공혁준,14902,7.4hours,102580,110036,222,+28822,307547,37056582
132,#126,Warcraft,14758,19.2hours,98370,282896,206,+5837,606067,81800758
134,#127,Warframe,14616,21.4hours,349477,312658,207,+10442,1364149,31477737
135,#128,Mongraal,14606,38.4hours,127720,561369,171,+66587,4458741,69090574
136,#129,풍월량,14341,242.7hours,44351,3480060,91,+2850,543135,131950867
137,#130,GMHikaru,14168,161hours,76963,2281065,103,+26707,1239622,106630251
138,#131,casimito,14119,143.1hours,51390,2020236,124,+58225,376376,9542335
139,#132,CohhCarnage,14091,229.6hours,68777,3234763,97,+10391,1360413,197571773
140,#133,Robleis,14031,124hours,68758,1739118,132,+376338,1804035,6416518
141,#134,Kyle,13882,226.6hours,28896,3145964,99,+41628,341703,18814809
142,#135,Jerma985,13826,37.8hours,47259,522273,203,+14989,552018,15197244
143,#136,BaboAbe,13659,77.7hours,55684,1060590,164,+50618,256574,3745146
144,#137,李芷婷,13578,17.6hours,32784,238405,235,+67252,67519,666977
145,#138,Gorgc,13308,147.7hours,55738,1965378,134,+8121,459445,61703481
