,#,Game,Avg. viewers,Max. viewers,Followers,Total airtime,Last seen
0,#1,Minecraft,32652,381550,2601.1 /hour,13355  34.2%,2021-06-02 21:20:00
1,#2,Just Chatting,18207,230817,1555.4 /hour,9447  24.2%,2021-04-23 01:30:00
2,#3,Toontown Online,1524,4299,236 /hour,2032  5.2%,2020-06-19 07:20:00
3,#4,Jackbox Party Packs,126620,232299,5230.6 /hour,1376  3.5%,2021-04-15 03:40:00
4,#5,Among Us,20987,109720,2384.7 /hour,1254  3.2%,2020-12-30 04:30:00
5,#6,Roblox,76616,202526,4208.7 /hour,1223  3.1%,2021-03-22 00:10:00
6,#7,Habbo,18714,117637,1244.9 /hour,1048  2.7%,2021-01-17 00:20:00
7,#8,Animal Crossing: New Horizons,3412,4208,557.2 /hour,942  2.4%,2020-04-20 04:40:00
8,#9,The Sims 4,19403,164457,1014.3 /hour,917  2.3%,2021-03-27 02:30:00
9,#10,Outlast,31344,97536,1883.2 /hour,823  2.1%,2020-12-29 06:10:00
10,#11,Grand Theft Auto V,109872,191381,3676.8 /hour,424  1.1%,2021-05-02 23:10:00
11,#12,Fortnite,263,557,12.1 /hour,421  1.1%,2018-04-06 01:50:00
12,#13,Five Nights at Freddy's,42592,209595,2645.9 /hour,369  0.9%,2021-02-01 02:10:00
13,#14,IRL,500,1129,36.5 /hour,362  0.9%,2018-09-17 23:40:00
14,#15,American Truck Simulator,3278,4973,551.8 /hour,362  0.9%,2020-07-26 04:50:00
15,#16,Club Penguin,2390,8385,341.3 /hour,343  0.9%,2018-01-13 23:40:00
16,#17,Five Nights at Freddy's: Help Wanted,15682,17625,2035.1 /hour,282  0.7%,2020-11-01 08:30:00
17,#18,Grand Theft Auto: San Andreas,1523,4274,293.7 /hour,276  0.7%,2020-05-23 07:30:00
18,#19,The Elder Scrolls V: Skyrim,600,955,130.2 /hour,247  0.6%,2018-06-29 01:20:00
19,#20,Counter-Strike: Global Offensive,280,1275,-572.2 /hour,209  0.5%,2017-06-05 00:10:00
20,#21,Moshi Monsters,2455,3048,169.1 /hour,193  0.5%,2019-11-21 23:20:00
21,#22,IMVU,54389,116341,2600.1 /hour,191  0.5%,2021-01-03 04:20:00
22,#23,Rust,43058,89281,1707.5 /hour,181  0.5%,2021-01-13 04:50:00
23,#24,Slender: The Arrival,43670,48726,2430 /hour,172  0.4%,2020-11-27 05:30:00
24,#25,Who Wants To Be A Millionaire,50823,56118,2213.8 /hour,155  0.4%,2020-12-14 09:00:00
25,#26,Five Nights at Freddy's 3,6793,7693,835.6 /hour,136  0.3%,2020-05-04 06:30:00
26,#27,Gartic Phone,128071,155857,3845.7 /hour,127  0.3%,2021-02-06 03:40:00
27,#28,Five Nights at Freddy's: Sister Location,7815,8483,851.7 /hour,118  0.3%,2020-05-13 03:40:00
28,#29,Animal Jam,43005,48352,2173.2 /hour,114  0.3%,2018-12-23 00:50:00
29,#30,"I Love You, Colonel Sanders! A Finger Lickin' Good Dating Simulator",1882,2449,288.2 /hour,112  0.3%,2020-01-08 04:30:00
30,#31,Hand Simulator,52395,61394,3032.8 /hour,108  0.3%,2020-12-19 04:00:00
31,#32,Fall Guys: Ultimate Knockout,4314,4528,721.2 /hour,103  0.3%,2020-08-06 05:10:00
32,#33,PLAYERUNKNOWN'S BATTLEGROUNDS,380,571,20 /hour,102  0.3%,2018-01-19 00:40:00
33,#34,Five Nights at Freddy's 4,8090,8688,1190.5 /hour,101  0.3%,2020-05-07 02:20:00
34,#35,Super Mario 64,861,1045,218.5 /hour,95  0.2%,2020-01-13 08:00:00
35,#36,The Jackbox Party Pack 7,22961,24595,1526.5 /hour,95  0.2%,2020-10-29 08:20:00
36,#37,Creative,360,384,9.2 /hour,85  0.2%,2017-09-03 00:40:00
37,#38,Mario Kart 64,4615,5331,975.5 /hour,85  0.2%,2020-05-18 03:30:00
38,#39,Club Penguin Island,24660,26894,1650.4 /hour,85  0.2%,2018-09-01 23:30:00
39,#40,Star Fox 64,1671,2266,300.7 /hour,85  0.2%,2020-01-12 07:00:00
40,#41,Outlast II,2331,2567,20942.1 /hour,84  0.2%,2020-03-03 02:50:00
41,#42,Portal 2,3491,3884,577.9 /hour,84  0.2%,2020-06-18 05:40:00
42,#43,Pavlov VR,1810,2654,38 /hour,82  0.2%,2019-02-11 01:40:00
43,#44,Surgeon Simulator 2013,2118,2464,403.6 /hour,77  0.2%,2020-02-29 03:00:00
44,#45,Call of Duty: Black Ops 4,641,1244,53.3 /hour,72  0.2%,2018-09-15 23:20:00
45,#46,The Joy of Creation,6056,6488,799.2 /hour,72  0.2%,2020-05-20 03:50:00
46,#47,Baldi's Basics in Education and Learning,7306,8061,903.8 /hour,63  0.2%,2020-07-15 05:20:00
47,#48,Drug Dealer Simulator,4516,5094,612 /hour,60  0.2%,2020-05-22 07:00:00
48,#49,Cooking Simulator,4349,4623,585 /hour,60  0.2%,2020-05-28 03:30:00
49,#50,Amnesia: The Dark Descent,3684,3907,341.7 /hour,59  0.2%,2020-04-12 04:00:00
50,#51,VRChat,3298,6202,718.4 /hour,37  0.1%,2018-01-14 00:20:00
51,#52,GoldenEye 007,1180,1258,233.5 /hour,37  0.1%,2020-01-13 06:20:00
52,#53,Phasmophobia,12017,18687,1749.1 /hour,33  0.1%,2020-10-26 06:20:00
53,#54,Cuphead,141,240,0 /hour,21  0.1%,2017-10-20 02:00:00
54,#55,In Silence,27026,27050,2664 /hour,20  0.1%,2020-10-29 06:20:00
55,#56,Second Life,277,277,6 /hour,10  0%,2018-04-06 01:00:00
56,#57,Club Penguin Rewritten,923,923,240 /hour,10  0%,2019-10-31 05:10:00
