,#,Game,Avg. viewers,Max. viewers,Followers,Total airtime,Last seen
0,#1,Minecraft,30664,650237,1101.7 /hour,64219  89.1%,2021-05-31 20:30:00
1,#2,Just Chatting,20404,380838,1000.8 /hour,4613  6.4%,2021-05-14 21:20:00
2,#3,Among Us,67458,267938,2779.8 /hour,1062  1.5%,2021-02-10 22:00:00
3,#4,Fortnite,9,22,0.9 /hour,562  0.8%,2019-02-02 19:10:00
4,#5,PLAYERUNKNOWN'S BATTLEGROUNDS,29,445,4.6 /hour,428  0.6%,2020-03-19 23:00:00
5,#6,Terraria,51160,172267,2117.8 /hour,316  0.4%,2021-02-12 22:20:00
6,#7,ARMS,7,12,2.3 /hour,106  0.1%,2018-08-31 15:15:00
7,#8,Rust,122648,137870,6447.8 /hour,97  0.1%,2021-01-03 21:00:00
8,#9,Minecraft Dungeons,675,841,54.4 /hour,85  0.1%,2020-03-31 21:10:00
9,#10,The Legend of Zelda: Breath of the Wild,7,7,2 /hour,60  0.1%,2017-12-25 15:10:00
10,#11,Five Nights at Freddy's,2507,2909,345 /hour,60  0.1%,2020-06-27 21:30:00
11,#12,Five Nights at Freddy's 4,60142,74501,2777.9 /hour,57  0.1%,2020-10-31 19:30:00
12,#13,Escape from Tarkov,7,13,0 /hour,55  0.1%,2018-06-05 15:30:00
13,#14,Splatoon 2,4,5,0 /hour,52  0.1%,2017-11-26 16:00:00
14,#15,Ultimate Chicken Horse,12250,14021,1096.8 /hour,50  0.1%,2020-08-07 20:10:00
15,#16,UNO,326,338,34.7 /hour,45  0.1%,2020-02-14 22:10:00
16,#17,Variety,2276,6817,-1.6 /hour,38  0.1%,2020-08-26 18:20:00
17,#18,Fall Guys: Ultimate Knockout,16556,17676,1541.1 /hour,35  0%,2020-08-20 20:20:00
18,#19,ShellShock Live,6,6,0 /hour,33  0%,2018-01-19 19:40:00
19,#20,Five Nights at Freddy's 2,2412,2470,278.4 /hour,25  0%,2020-06-27 22:00:00
20,#21,Music,13,15,0 /hour,22  0%,2018-09-30 13:20:00
21,#22,IRL,17,21,0 /hour,20  0%,2018-08-31 15:00:00
22,#23,Team Fortress 2,20,20,-6 /hour,10  0%,2018-08-29 15:40:00
23,#24,Counter-Strike: Global Offensive,5,5,0 /hour,5  0%,2017-12-25 21:00:00
