username,AVG Viewers,Time Streamed (in hours),Hours Watched,Followers Gained,Total Followers,Total Views,All Time Peak Viewers
tommyinnit,195782,14.3,2806209,334307,5499713,49185807,650237
Quackity,158364,10.2,1620588,198959,3471874,23178122,381550
Sapnap,129001,9.2,1188960,183191,2237876,8740493,287152
auronplay,113520,109.4,12419097,341562,8741858,142994817,313347
xQcOW,109059,339.9,37072768,182238,5776761,361856811,222720
AdinRoss,107816,83.4,8986453,837941,3946089,21778759,254923
WilburSoot,105874,8.3,878604,219086,3356385,15913013,215211
ibai,98068,111.1,10898658,321873,6204120,204197597,1538645
Tubbo,92966,15.2,1408437,179383,3649547,45962620,332671
LCK_Korea,90113,89.3,8044086,46689,922251,268647537,365983
RanbooLive,87705,106.6,9350811,297717,2889972,41353249,346132
RocketLeague,80301,69.2,5556826,103074,3162189,245021264,214930
Riot Games,78315,192.2,15052113,180549,5145477,1283791496,654205
ThisIsNotGeorgeNotFound,75837,19.4,1473757,237958,793752,2026883,114463
Rainbow6,71417,116.3,8303362,105674,1993976,83988789,191703
loud_coringa,66990,120.9,8101286,153027,1890683,20149102,144537
Flashpoint,66883,125.1,8363729,160653,404895,118675590,128800
TheRealKnossi,64403,95.5,6151556,95886,1674909,52372343,336065
Rubius,60892,116.1,7068535,252579,9188382,177882692,344676
shroud,60253,205.0,12349819,187393,9259582,483658279,516289
CBLOL,57669,84.9,4895150,44046,1271128,205127631,264955
LITkillah,55792,69.2,3861738,322294,1707790,13649126,103784
NICKMERCS,53629,156.7,8403677,103141,5749024,178955069,371232
Sykkuno,50060,157.9,7902747,135042,3436353,62913977,104187
Philza,50026,63.6,3183344,235147,2923677,34808161,162626
LyonWGFLive,47968,49.6,2377634,40948,467313,6950848,76770
sapnapalt,47061,23.3,1096522,118071,696673,2493755,75655
DreamLeague,45140,101.6,4587735,28912,473199,123952709,148635
Elraenn,45104,74.2,3346696,61962,2294471,67436099,103108
karlnetwork,44472,19.1,848308,115328,604875,1660869,93412
CriticalRole,43489,25.4,1102445,17071,739298,23348043,110800
Asmongold,41850,124.7,5216658,41085,1983111,175246585,283753
TimTheTatman,39169,132.1,5172870,76568,6606268,246435970,347321
loltyler1,38879,223.2,8676434,59835,4310730,242744183,368484
MontanaBlack88,36878,75.4,2779351,40320,3768532,112645946,194927
juansguarnizo,36074,210.0,7574946,250144,4170375,78388609,140500
ranboobutnot,35989,8.6,310108,73212,317372,454306,83561
VALORANT,35336,125.2,4423497,232378,1026637,36821703,198833
Baiano,34892,101.6,3545633,44860,646490,44497002,130745
